date,weekday,holiday,ili_index,fast_track_open,visits,ems_arrivals,esi_1_2,admissions,lwbs,lwbs_rate,median_door_to_provider_min,p90_door_to_provider_min,median_ed_los_min,boarding_hours,mean_inpatient_occupancy_pct
2025-01-01,Wednesday,1,1.137,0,97,23,18,15,3,0.0309,41.0,85.0,233.0,26.8,90.9
2025-01-02,Thursday,0,1.138,0,128,43,25,30,0,0.0,37.0,90.0,234.0,38.8,85.4
2025-01-03,Friday,0,1.139,0,162,34,26,35,2,0.0123,48.0,131.0,234.0,56.8,86.1
2025-01-04,Saturday,0,1.14,0,148,47,31,39,3,0.0203,40.0,102.0,260.0,37.6,81.9
2025-01-05,Sunday,0,1.141,0,116,31,17,16,4,0.0345,40.0,88.0,192.0,13.6,79.7
2025-01-06,Monday,0,1.142,0,124,24,17,29,1,0.0081,39.0,97.0,231.0,27.6,80.8
2025-01-07,Tuesday,0,1.143,0,128,32,24,23,4,0.0312,36.0,73.0,204.0,27.0,86.1
2025-01-08,Wednesday,0,1.144,0,140,31,33,34,6,0.0429,39.0,122.0,266.0,48.5,86.2
2025-01-09,Thursday,0,1.144,0,108,16,15,23,3,0.0278,36.0,79.0,206.0,32.8,88.8
2025-01-10,Friday,0,1.145,0,128,37,25,27,1,0.0078,41.0,102.0,235.0,51.2,90.8
2025-01-11,Saturday,0,1.146,0,146,33,29,29,0,0.0,44.0,102.0,220.0,39.3,87.4
2025-01-12,Sunday,0,1.146,0,136,30,20,29,2,0.0147,42.0,90.0,236.0,47.2,88.1
2025-01-13,Monday,0,1.147,0,197,35,43,44,7,0.0355,56.0,127.0,268.0,103.8,94.1
2025-01-14,Tuesday,0,1.147,0,140,31,22,27,5,0.0357,43.0,89.0,233.0,81.8,95.1
2025-01-15,Wednesday,0,1.148,0,170,42,35,35,9,0.0529,45.0,95.0,239.0,94.8,94.9
2025-01-16,Thursday,0,1.148,0,155,39,28,31,11,0.071,44.0,90.0,225.0,78.0,89.9
2025-01-17,Friday,0,1.149,0,141,46,38,33,6,0.0426,35.0,93.0,251.0,63.4,88.6
2025-01-18,Saturday,0,1.149,0,136,35,27,26,6,0.0441,38.0,106.0,230.0,36.1,84.6
2025-01-19,Sunday,0,1.149,0,162,45,39,41,2,0.0123,44.0,94.0,256.0,104.2,93.7
2025-01-20,Monday,1,1.149,0,112,24,22,18,6,0.0536,40.0,98.0,224.0,49.4,94.6
2025-01-21,Tuesday,0,1.15,0,134,24,25,19,2,0.0149,40.0,92.0,212.0,49.9,95.7
2025-01-22,Wednesday,0,1.15,0,164,44,34,34,6,0.0366,45.0,103.0,228.0,63.2,91.0
2025-01-23,Thursday,0,1.15,0,134,33,34,35,2,0.0149,34.0,81.0,254.0,70.3,89.7
2025-01-24,Friday,0,1.15,0,142,36,30,34,4,0.0282,46.0,98.0,239.0,42.1,85.8
2025-01-25,Saturday,0,1.15,0,123,27,28,28,4,0.0325,31.0,76.0,224.0,39.3,84.8
2025-01-26,Sunday,0,1.15,0,133,25,15,22,3,0.0226,50.0,89.0,244.0,40.8,90.3
2025-01-27,Monday,0,1.15,0,136,35,25,21,0,0.0,46.0,105.0,288.0,46.2,91.5
2025-01-28,Tuesday,0,1.15,0,132,27,30,29,1,0.0076,41.0,115.0,266.0,87.9,94.5
